Entry,Protein,Gene,Urine,Plasma,Serum
F1C962_FELCA,Cathelicidin,CAMP,30.1,25.6,25.7
A0A2I2U679_FELCA,Galectin-3-binding protein (Lectin galactoside-binding soluble 3-binding protein),CANT1,28.9,21.6,21.7
A0A2I2U787_FELCA,Adenylyl cyclase-associated protein,CAP2,19.4,12.9,11.8
M3XEV5_FELCA,Calpain 7,CAPN7,23.3,23.6,22
M3WK60_FELCA,Calpain small subunit 1,CAPNS1,15.6,18.4,17.1
CAZA2_FELCA,F-actin-capping protein subunit alpha-2 (CapZ alpha-2),CAPZA2,19.6,11.5,12.5
A0A337S7D7_FELCA,F-actin-capping protein subunit beta,CAPZB,19.3,16.1,16.4
A0A5F5XBX1_FELCA,CASK interacting protein 1,CASKIN1,10.8,19.9,19.9
M3X6G1_FELCA,Caveolae associated protein 1,CAVIN1,19.9,15.4,15.5
A0A337S4Q8_FELCA,Chromosome B4 C12orf56 homolog,CB4H12orf56,22.8,16.6,17
M3W7W5_FELCA,Cobalamin binding intrinsic factor,CBLIF,20.2,20.2,19.5
A0A337S4U7_FELCA,Cerebellin 2,CBLN2,18.6,15.5,16.7
A0A337SFW3_FELCA,Coiled-coil domain containing 126,CCDC126,18,17.5,17.6
A0A2I2U794_FELCA,Coiled-coil domain containing 150,CCDC150,17.2,14.3,14.7
A0A2I2U1I0_FELCA,Coiled-coil domain containing 154,CCDC154,20.4,20.6,20.6
M3WGB1_FELCA,Coiled-coil domain containing 68,CCDC68,16.5,16.8,17.8
M3WCI9_FELCA,C-C motif chemokine,CCL16,19.6,22.6,22.1
M3WX79_FELCA,CCN family member 1 (Cellular communication network factor 1) (Protein CYR61),CCN1,21.4,19,19.3
A0A337S566_FELCA,CCN family member 2 (Cellular communication network factor 2) (Connective tissue growth factor),CCN2,24.8,19.8,20.7
A0A2I2UV24_FELCA,CCN family member 3 (Cellular communication network factor 3),CCN3,27.6,18.5,19.1
A0A337SGQ6_FELCA,Cellular communication network factor 4,CCN4,22.4,17,16.9
A0A337S736_FELCA,T-complex protein 1 subunit delta,CCT4,15,13.6,13.6
A0A337SB54_FELCA,CD109 molecule,CD109,27,18,18.6
M3VWC6_FELCA,Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein),CD14,24.1,24.2,24.2
M3VZG5_FELCA,CD163 molecule,CD163,22.2,22.6,22.7
A0A2I2UYP6_FELCA,CD177 molecule,CD177,21,18.7,19.4
A0A337SMM1_FELCA,Prostate androgen-regulated mucin-like protein 1,CD1H11orf24,18.4,16,16.2
A0A2I2U7D8_FELCA,Chromosome D1 C11orf54 homolog,CD1H11orf54,23.3,21.9,21.9
M3W8D8_FELCA,CD200 molecule,CD200,21.3,16.4,15.7
A0A5F5XNG4_FELCA,CD248 molecule,CD248,27.2,20.2,20.6
A0A5F5Y5L0_FELCA,CD27 molecule,CD27,22.4,13.8,14.7
A0A2I2UYF4_FELCA,CD276 molecule,CD276,22,17.2,18.1
M3XCH2_FELCA,CD2 associated protein,CD2AP,17.3,14.3,15.9
A0A337S6R6_FELCA,CD300 molecule like family member g,CD300LG,25.9,18.3,18.5
A0A5F5Y2H9_FELCA,CD34 molecule,CD34,21.9,17.1,16.6
A0A337S4N5_FELCA,Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (CD40L receptor),CD40,19.3,16.3,17
A0A2I2UH63_FELCA,CD44 antigen (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (Phagocytic glycoprotein I),CD44,28,20.9,20.8
A0A337SX28_FELCA,Leukocyte surface antigen CD47 (Integrin-associated protein),CD47,18,16.7,16.4
A0A5F5XDA0_FELCA,CD58 molecule,CD58,18.9,14,12.6
A0A5F5XQT8_FELCA,MAC-inhibitory protein (Membrane attack complex inhibition factor) (Protectin),CD59,32.5,20.7,20.8
A0A1E1GEV5_FELCA,CD5 antigen-like,cd5l AIM,18.8,22.2,21.4
A0A1E1GEW8_FELCA,CD5 antigen-like,cd5l AIM,17.5,17.1,16.3
CD63_FELCA,CD63 antigen (CD antigen CD63),CD63,21,22.9,24
A0A2I2UTM6_FELCA,CD69 molecule,CD69,20.1,15.6,15.1
A0A5F5XTX9_FELCA,CD80 molecule,CD80,23,20.4,21
A0A337S8U6_FELCA,CD81 molecule,CD81,18.8,10,10.2
A0A337SBU9_FELCA,Tetraspanin,CD82,20.4,17.8,17.2
A0A337S2I4_FELCA,CD84 molecule,CD84,23.8,18.8,19
CD9_FELCA,CD9 antigen (CD antigen CD9),CD9,20.7,18.5,19.2
A0A5F5XPS6_FELCA,CD93 molecule,CD93,21.5,21.5,21.5
A0A337S9J3_FELCA,CD99 antigen-like protein 2,CD99L2,23.1,18.2,17.5
A0A337SRW5_FELCA,Cell division control protein 42 homolog (EC 3.6.5.2),CDC42,21.6,23.1,22.9
A0A5F5XFC6_FELCA,Cell division cycle 5 like,CDC5L,21.6,21.1,21.3
A0A337SG59_FELCA,Cadherin-1 (Epithelial cadherin),CDH1,24.4,19.2,19.5
A0A337S5G0_FELCA,Cadherin-1 (Epithelial cadherin),CDH1,29.7,23.3,23
M3W046_FELCA,Cadherin 11,CDH11,26.1,21.5,20.7
A0A337SUI1_FELCA,Cadherin 13,CDH13,26.2,20.9,21.4
A0A337ST48_FELCA,Cadherin 13,CDH13,27.5,21.5,22.8
A0A5F5XXK1_FELCA,Cadherin 15,CDH15,22.4,19.9,19.8
A0A337S9Q3_FELCA,Cadherin 16,CDH16,24.5,22.3,21.1
A0A5F5Y2W6_FELCA,Cadherin 17,CDH17,21.3,18.2,18
A0A337SSN3_FELCA,Cadherin 19,CDH19,23.8,20.5,20.3
A0A2I2U9W3_FELCA,Cadherin-2 (Neural cadherin),CDH2,26,25,24.7
A0A337SEZ0_FELCA,Cadherin 24,CDH24,21.5,15.7,15.9
A0A2I2UB75_FELCA,Cadherin 3,CDH3,20.5,15.9,16.2
A0A337SGU2_FELCA,Cadherin-4,CDH4,19.4,17,16.8
M3WM81_FELCA,Cadherin-5 (Vascular endothelial cadherin),CDH5,15.8,16.3,15.9
A0A337SJ76_FELCA,Cadherin domain-containing protein,CDH5,21.5,20.5,20.8
A0A337S9H7_FELCA,Cadherin-6,CDH6,22.7,20.5,21.2
M3VUL6_FELCA,Cadherin-6,CDH6,17.4,19.4,19.2
A0A2I2USA1_FELCA,Cadherin 8,CDH8,21.9,18.6,18.9
M3VX11_FELCA,Cadherin-related family member 1 (Photoreceptor cadherin) (Protocadherin-21),CDHR1,22.5,20.2,19.9
M3VZN4_FELCA,Cadherin related family member 2,CDHR2,22.9,21,21.8
A0A5F5XIV3_FELCA,Cadherin related family member 5,CDHR5,25.3,22.2,22.9
A0A5F5Y466_FELCA,Cadherin related family member 5,CDHR5,24,16.6,16.9
A0A2I2V2G8_FELCA,"Cell adhesion associated, onco regulated",CDON,17.5,18.5,17.1
M3X143_FELCA,Corneodesmosin,CDSN,23,11.3,11.2
A0A5F5Y101_FELCA,Corneodesmosin,CDSN,28.4,18.8,19.1
M3WSX6_FELCA,Chromosome E3 C16orf89 homolog,CE3H16orf89,15,15.8,15.6
A0A337S2C9_FELCA,Ig-like domain-containing protein,CEACAM1,21.8,15.5,14.4
A0A337RVE0_FELCA,"CEA cell adhesion molecule 16, tectorial membrane component",CEACAM16,20.7,18.4,18.6
M3VUF8_FELCA,CEA cell adhesion molecule 19,CEACAM19,22.6,14.8,16
M3X096_FELCA,Carboxylic ester hydrolase (EC 3.1.1.-),CEL,22.7,23.6,23.8
CELA1_FELCA,Chymotrypsin-like elastase family member 1 (EC 3.4.21.36) (Elastase-1),CELA1 ELA1 ELS1,23.6,19.3,19.3
M3X2X6_FELCA,Centromere protein C,CENPC,21.2,21.3,21.3
M3W105_FELCA,Carboxylic ester hydrolase (EC 3.1.1.-),CES2,27.3,25.8,25.7
A0A337SQR3_FELCA,Carboxylic ester hydrolase (EC 3.1.1.-),CES4A,16.3,14.4,14.2
A0A2I2UFP6_FELCA,Carboxylic ester hydrolase (EC 3.1.1.-),CES5A CES1,30.9,22.6,24.7
M3WKH4_FELCA,Carboxylic ester hydrolase (EC 3.1.1.-),CES5A CES1,20.7,19.3,18.7
EST5A_FELCA,Carboxylesterase 5A (EC 3.1.1.1) (Carboxylesterase-like urinary excreted protein) (Cauxin),CES5A CES7,34.4,22.4,23.2
M3W2B8_FELCA,Complement factor B (EC 3.4.21.47) (C3/C5 convertase),CFB,28,29.7,30
A0A337SQJ3_FELCA,Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D),CFD,22.8,23.1,23.1
M3XG35_FELCA,Complement factor H related 5,CFHR5,21,21.2,21.3
A0A2I2U350_FELCA,Complement factor I,CFI,24.5,27.5,27.6
M3WIJ6_FELCA,"Cofilin-1 (Cofilin, non-muscle isoform)",CFL1,22.7,20.5,20.5
A0A337SEF0_FELCA,Cofilin-2,CFL2,22.8,18.9,19.1
M3W950_FELCA,Complement factor properdin,CFP,19.6,23.9,23.6
GLHA_FELCA,Glycoprotein hormones alpha chain (Anterior pituitary glycoprotein hormones common subunit alpha) (Follicle-stimulating hormone alpha chain) (FSH-alpha) (Follitropin alpha chain) (Luteinizing hormone alpha chain) (LSH-alpha) (Lutropin alpha chain) (Thyroid-stimulating hormone alpha chain) (TSH-alpha) (Thyrotropin alpha chain),CGA,18.2,10.7,10.7
A0A5F5XGZ4_FELCA,Cingulin like 1,CGNL1,25.9,26.9,27.1
A0A337SFJ9_FELCA,Chromogranin-A,CHGA,19.6,12.7,11.9
A0A5F5XCZ2_FELCA,Chromogranin-A,CHGA,21.2,10.9,10.7
A0A2I2UDB3_FELCA,Chitinase-3-like protein 1,CHI3L1,19.4,17.5,17.5
A0A337SU79_FELCA,Cell adhesion molecule L1 like,CHL1,17.9,18.6,18.6
M3W0W8_FELCA,Charged multivesicular body protein 2a (Chromatin-modifying protein 2a),CHMP2A,23,17.7,18.1
A0A337S8C4_FELCA,Charged multivesicular body protein 2B,CHMP2B,19.8,13.5,15.8
A0A5F5Y7M8_FELCA,Charged multivesicular body protein 3 (Chromatin-modifying protein 3) (Vacuolar protein sorting-associated protein 24),CHMP3,18.9,19.6,18.9
M3WXJ4_FELCA,Charged multivesicular body protein 4B,CHMP4B,22.6,20.4,20.6
M3X6F1_FELCA,Charged multivesicular body protein 5 (Chromatin-modifying protein 5),CHMP5,20.1,13.4,12.7
A0A337SL92_FELCA,Charged multivesicular body protein 5 (Chromatin-modifying protein 5),CHMP5,22,18.8,18.7
A0A337SGE0_FELCA,Chondrolectin,CHODL,23.7,18.9,20
M3WI48_FELCA,Sulfotransferase (EC 2.8.2.-),CHST3,19.3,16.7,16.8
M3WF53_FELCA,Cartilage intermediate layer protein,CILP,21.9,19.4,19.6
M3WKI3_FELCA,Cartilage intermediate layer protein 2,CILP2,26.8,22.5,22.4
A0A2I2UED7_FELCA,Cytoplasmic linker associated protein 1,CLASP1,15.1,14.9,13.7
A0A2I2U6F0_FELCA,C-type lectin domain containing 11A,CLEC11A,22.8,22.3,22.1
M3VWY2_FELCA,C-type lectin domain family 4 member G,CLEC4G,21,19.1,18.6
A0A2I2UE55_FELCA,C-type lectin domain containing 7A,CLEC7A,22,22.8,23
A0A337SW69_FELCA,C-type lectin domain containing 7A,CLEC7A,19.9,15,15.1
M3WNY6_FELCA,Chloride intracellular channel protein,CLIC1,21.9,20.7,20.6
A0A337SD38_FELCA,Chloride intracellular channel protein,CLIC4,23.7,20.9,21
A0A2I2UVX8_FELCA,Chloride intracellular channel protein,CLIC5,19.1,16,16.2
M3VW19_FELCA,CXADR like membrane protein,CLMP,20.6,18.4,17.1
A0A2I2U499_FELCA,Battenin,CLN3,17.6,20.4,21.9
A0A2I2UWU9_FELCA,CLN5 intracellular trafficking protein,CLN5,23.4,19.1,19
M3W2V0_FELCA,Apolipoprotein E,CLPTM1 APOE,24.1,25.8,26
A0A337S9Y3_FELCA,Apolipoprotein E,CLPTM1 APOE,24.2,24.5,24.9
M3VU87_FELCA,Calsyntenin-3,CLSTN3,21.4,20.7,20.4
M3WKP2_FELCA,Clusterin,CLU,23.4,23.9,23.9
A0A5F5XGP3_FELCA,Clusterin,CLU,29.1,29.3,29.3
A0A5F5XKE9_FELCA,Cytidine/uridine monophosphate kinase 2,CMPK2,22.3,20,21.6
A0A337SUS1_FELCA,Carnosine dipeptidase 2,CNDP2,23.3,21.5,20.9
M3W9A2_FELCA,Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2) (Threonyl dipeptidase),CNDP2,22.5,19,19.1
A0A337SGM0_FELCA,Metal transporter,CNNM4 CNNM3,20.5,15.9,17.1
M3WWG3_FELCA,"2',3'-cyclic-nucleotide 3'-phosphodiesterase (CNP) (CNPase) (EC 3.1.4.37)",CNP,18.9,19.5,19.3
A0A337RVG5_FELCA,Ciliary neurotrophic factor receptor subunit alpha,CNTFR,23.2,21,21
A0A2I2U968_FELCA,Contactin-1,CNTN1,21.4,18.8,19.3
A0A2I2UN28_FELCA,Cochlin,COCH,28.9,17.1,17.3
M3WFG2_FELCA,Cochlin,COCH,17.6,15.1,15.4
A0A337S496_FELCA,Collagen type XI alpha 1 chain,COL11A1,21.9,17.8,17.2
A0A2I2U432_FELCA,Collagen type XII alpha 1 chain,COL12A1,27.3,23.6,23.5
A0A337RZD5_FELCA,Collagen type XIV alpha 1 chain,COL14A1,23.7,21.9,21.8
A0A337RV83_FELCA,Collagen type XV alpha 1 chain,COL15A1,25.8,22,22
A0A5F5XC75_FELCA,Collagen type XVIII alpha 1 chain,COL18A1,25.3,21.2,21.6
M3W2F5_FELCA,Collagen type I alpha 1 chain,COL1A1,23.2,17.5,17.8
A0A5F5XYM1_FELCA,Collagen type I alpha 2 chain,COL1A2,23.5,18.2,19.4
M3WVN3_FELCA,Collagen type I alpha 2 chain,COL1A2,20.7,17.2,16.8
M3WPE0_FELCA,Collagen type XXVIII alpha 1 chain,COL28A1,21.6,11.9,11.4
A0A5F5Y1B8_FELCA,Collagen type III alpha 1 chain,COL3A1,24.6,20.9,20.4
A0A5F5Y4J4_FELCA,Collagen type IV alpha 1 chain,COL4A1,19.8,17.5,17.3
A0A5F5XGS9_FELCA,Collagen type IV alpha 2 chain,COL4A2,23.4,20.1,20.3
A0A337RYM9_FELCA,Collagen type IV alpha 3 chain,COL4A3,20.4,18.2,18.4
A0A337SN04_FELCA,Collagen type IV alpha 5 chain,COL4A5,21.6,20.6,19.8
A0A2I2UD65_FELCA,Collagen type V alpha 2 chain,COL5A2,25.8,25.4,23
A0A5F5XGI4_FELCA,Collagen type V alpha 3 chain,COL5A3,23.4,18.6,18.7
M3WLD9_FELCA,Collagen type VI alpha 1 chain,COL6A1,20.8,19.3,19
A0A2I2U2C4_FELCA,Collagen type VI alpha 2 chain,COL6A2,21.9,19.2,19
A0A337S4V9_FELCA,Collagen type VI alpha 3 chain,COL6A3,27.7,21,21.1
A0A337RW59_FELCA,Collagen type VI alpha 3 chain,COL6A3,27.2,24.5,24.6
M3WHG4_FELCA,Collagen type VI alpha 3 chain,COL6A3,24.5,19,18.9
A0A2I2U7G3_FELCA,Collagen type VIII alpha 1 chain,COL8A1,19.5,16.1,16.1
A0A2I2UH03_FELCA,Collectin subfamily member 10,COLEC10,17.5,18.5,18.7
A0A2I2U3V7_FELCA,Collectin-11,COLEC11,20.7,20.9,21.4
A0A2I2U1P2_FELCA,Collectin-12,COLEC12,27.4,21.9,23.6
M3WN82_FELCA,Collectin-12,COLEC12,18.9,15.3,15.3
A0A5F5XKH5_FELCA,Cartilage oligomeric matrix protein,COMP,17.4,16,15.3
A0A337S2A4_FELCA,Cartilage oligomeric matrix protein,COMP,23.1,21.7,22.5
M3VWP9_FELCA,Coatomer subunit beta',COPB2,21.8,19.1,17.6
A0A337RVF9_FELCA,ADF-H domain-containing protein,COTL1,25.5,22.2,22.2
A0A2I2U8E4_FELCA,ferroxidase (EC 1.16.3.1),CP,27.7,28.4,28.9
A0A5F5XZM2_FELCA,Carboxypeptidase A1,CPA1,24.7,22.2,22.5
M3WKB7_FELCA,Carboxypeptidase A1 (EC 3.4.17.1),CPA1,23.3,20.6,20.8
A0A2I2U0Y4_FELCA,Carboxypeptidase B (EC 3.4.17.2),CPB1,23,19.3,19.5
A0A2I2UAE6_FELCA,Carboxypeptidase B2,CPB2,23.8,24.4,24.6
A0A337SN31_FELCA,Carboxypeptidase D (EC 3.4.17.22) (Metallocarboxypeptidase D),CPD,20.8,20.5,19.8
M3WGH2_FELCA,Carboxypeptidase E (EC 3.4.17.10) (Carboxypeptidase H) (Enkephalin convertase) (Prohormone-processing carboxypeptidase),CPE,23.5,23.7,24.3
M3WMF1_FELCA,Carboxypeptidase N subunit 2,CPN2,24.7,26.3,26.3
A0A2I2V326_FELCA,Copine 1,CPNE1,21.7,17.6,17.9
A0A337SJW2_FELCA,Copine 3,CPNE3,24.3,21.5,21.6
A0A2I2U0K1_FELCA,Copine 4,CPNE4,22.4,17.2,17.5
A0A337SEH6_FELCA,"Carboxypeptidase X, M14 family member 2",CPXM2,18.7,17.9,16
U5TLB4_COWPX,CPXV028 protein,CPXV028,21.3,20.8,20.9
A0A0K2YWB3_COWPX,CPXV211 protein,CPXV211,18.1,16.6,16.3
A0A337SSG2_FELCA,Carboxypeptidase Z,CPZ,20.4,16.3,18.3
A0A337SJR3_FELCA,Complement C3d receptor 2,CR2,20.7,17.9,18
A0A337SV16_FELCA,Crumbs cell polarity complex component 1,CRB1,21.6,15.7,16.1
A0A337SRL8_FELCA,Crumbs cell polarity complex component 2,CRB2,24.7,23.3,23.6
A0A5F5XYI6_FELCA,Cyclic AMP-responsive element-binding protein 3-like protein 2,CREB3L2,14.9,14.3,15.4
M3WK50_FELCA,cAMP responsive element binding protein 3 like 3,CREB3L3,24,20.2,20.9
A0A5F5XJY1_FELCA,Cellular repressor of E1A stimulateds 1,CREG1,22.1,19.6,19.9
A0A337S172_FELCA,Cysteine rich transmembrane BMP regulator 1,CRIM1,22,19.5,18.8
M3WNB8_FELCA,Cysteine rich protein 1,CRIP1,17.4,16.5,15.5
A0A2I2UC81_FELCA,Cysteine rich secretory protein 3,CRISP3,29.3,19.6,19.6
A0A5F5XVE8_FELCA,Cysteine rich secretory protein 3,CRISP3,16.3,18.9,18.3
A0A5F5Y1N6_FELCA,Cysteine rich secretory protein 3,CRISP3,13.1,18.9,18.4
A0A337SBA6_FELCA,Adapter molecule crk,CRK,22.3,21.2,20.3
M3W544_FELCA,"CRK like proto-oncogene, adaptor protein",CRKL,16.1,16,16.4
A0A5F5XWB9_FELCA,Pentraxin family member,CRP,26.6,27.2,27.1
A0A2I2UDI7_FELCA,Cartilage acidic protein 1,CRTAC1,27.3,22,21.8
A0A5F5XI25_FELCA,L-gulonate 3-dehydrogenase (EC 1.1.1.45) (L-gulonate 3-dehydrogenase),CRYL1,21.6,17.9,18.2
A0A5F5XUR3_FELCA,Ketimine reductase mu-crystallin (EC 1.5.1.25) (NADP-regulated thyroid-hormone-binding protein),CRYM,16.5,13.4,13.3
A0A337SVX9_FELCA,Crystallin zeta,CRYZ,18.7,19.3,18.4
A0A337SMK6_FELCA,Colony stimulating factor 1,CSF1,22.6,19.9,20.9
CSF1R_FELCA,Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115),CSF1R FMS,18,13.2,13
M3WGW7_FELCA,Chondroitin sulfate proteoglycan 4,CSPG4,26.2,20.6,20.5
D5MTH1_FELCA,Cystatin C,CST3,23,20.6,21
M3WIK5_FELCA,Cystatin E/M,CST6,27.4,21.1,21
CYTA_FELCA,Cystatin-A (allergen Fel d 3),CSTA,21.8,18,17.3
A0A337SE08_FELCA,Cystatin domain-containing protein,CSTB,21.4,16.2,16.5
A0A337SJE3_FELCA,Cystathionine gamma-lyase (EC 4.4.1.1) (Cysteine-protein sulfhydrase) (Gamma-cystathionase),CTH,24.3,22.8,22.1
A0A337SHY2_FELCA,Collagen triple helix repeat containing 1,CTHRC1,21.3,20.8,20.2
A0A2I2U5B1_FELCA,Catenin beta-1 (Beta-catenin),CTNNB1,18.6,17.5,17.7
A0A5F5XDM8_FELCA,Chymotrypsin C,CTRC,25.5,20.6,20.7
M3W019_FELCA,Chymotrypsin C,CTRC,24,17.3,18.2
M3WHR1_FELCA,Chymotrypsin like,CTRL,22.9,19.7,20.7
A0A337SMR1_FELCA,Carboxypeptidase (EC 3.4.16.-),CTSA,23.5,22,21.5
M3WLU0_FELCA,Cathepsin B (EC 3.4.22.1),CTSB,25.3,22.8,23.1
M3W9M0_FELCA,Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (Dipeptidyl transferase),CTSC,25.2,21.4,21.5
M3W8G3_FELCA,Cathepsin D (EC 3.4.23.5),CTSD,26,20.9,21.1
M3W7M8_FELCA,Cathepsin F,CTSF,20.8,19.2,19
M3WGI2_FELCA,Pro-cathepsin H,CTSH,20.5,13.8,13.9
A0A337SUC3_FELCA,Pro-cathepsin H,CTSH,21.8,19.7,19.5
M3W0Q2_FELCA,Cathepsin K (EC 3.4.22.38),CTSK,18.5,19.1,18.9
M3WUC1_FELCA,Cathepsin O,CTSO,21.8,18.7,17.8
A0A337RZ12_FELCA,Cathepsin S,CTSS,25,20.3,20
M3W0Q1_FELCA,Cathepsin S (EC 3.4.22.27),CTSS,23.9,17.9,17.9
A0A5F5XBP7_FELCA,cathepsin X (EC 3.4.18.1),CTSZ,26.1,19.9,19.2
M3VVI7_FELCA,cathepsin X (EC 3.4.18.1),CTSZ,25.5,20.4,18.5
M3WJ25_FELCA,Cubilin,CUBN,29.2,25.7,25.6
A0A2I2UJG2_FELCA,CutA divalent cation tolerance homolog,CUTA,20.2,15.2,15.7
A0A2I2UQ66_FELCA,CXADR Ig-like cell adhesion molecule,CXADR,24.2,20.9,20.8
SDF1_FELCA,Stromal cell-derived factor 1 (SDF-1) (C-X-C motif chemokine 12),CXCL12 SDF1,22.2,19.6,20.4
M3WSR7_FELCA,C-X-C motif chemokine 16 (Transmembrane chemokine CXCL16),CXCL16,22.1,18.2,17.8
M3VWB9_FELCA,Cysteine-rich and transmembrane domain-containing protein 1,CYSTM1,22,19.8,19.8
A0A337S6Y2_FELCA,DAB adaptor protein 2,DAB2,22.1,19.9,19.2
A0A337SFQ4_FELCA,Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1),DAG1,23.7,22,22.2
A0A2I2U6R0_FELCA,Acyl-CoA-binding protein,DBI,22.2,16.3,17.1
A0A337SMV2_FELCA,"Discoidin, CUB and LCCL domain containing 2",DCBLD2,22.9,18,17.9
A0A337S0Q6_FELCA,Decorin (Bone proteoglycan II),DCN,20.2,16.5,16.8
M3WFI7_FELCA,L-xylulose reductase (EC 1.1.1.10) (Dicarbonyl/L-xylulose reductase),DCXR,19.5,16.4,16.8
A0A2I2U3S0_FELCA,Dimethylarginine dimethylaminohydrolase 1,DDAH1,22.5,19.8,19.7
M3XC02_FELCA,Dimethylarginine dimethylaminohydrolase 2,DDAH2,25.9,23.8,23.3
A0A337SE70_FELCA,receptor protein-tyrosine kinase (EC 2.7.10.1),DDR1,24,21.8,21.8
A0A2I2UUM4_FELCA,"Beta-defensin 1 (Defensin, beta 1)",DEFB1,26,17.2,16.6
A0A337S785_FELCA,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase (EC 1.1.1.179) (EC 1.3.1.20) (D-xylose 1-dehydrogenase) (D-xylose-NADP dehydrogenase) (Dimeric dihydrodiol dehydrogenase)",DHDH,25.8,23,23.4
A0A337SIN6_FELCA,Delta like non-canonical Notch ligand 1,DLK1,22.3,16.3,15.9
A0A2I2U119_FELCA,Delta like non-canonical Notch ligand 1,DLK1,23.9,17.1,17.1
M3X710_FELCA,Delta like non-canonical Notch ligand 2,DLK2,24,21,21.2
M3W5T1_FELCA,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (E2K)",DLST,23.6,19,19
A0A5F5XLL3_FELCA,Dermokine,DMKN,19.7,14.5,13
A0A5F5XE39_FELCA,Dermokine,DMKN,22.3,18.4,18.6
A0A337S6Z7_FELCA,Dentin matrix acidic phosphoprotein 1,DMP1,16.6,10.4,10.3
A0A5F5XJC4_FELCA,Dynein axonemal heavy chain 11,DNAH11,24,23.2,23
A0A5F5XEB8_FELCA,Dynein axonemal heavy chain 8,DNAH8,21.9,20.7,20.9
A0A337S1A5_FELCA,DnaJ heat shock protein family (Hsp40) member C11,DNAJC11,18.1,18.8,18.1
A0A5F5XF61_FELCA,DnaJ heat shock protein family (Hsp40) member C28,DNAJC28,16.8,18.7,17.9
M3WGM9_FELCA,Deoxyribonuclease,DNASE1,30.9,21,22.8
A0A2I2UNJ5_FELCA,Deoxyribonuclease 1 like 2,DNASE1L2,22.4,17.6,17.7
M3VUU5_FELCA,Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (Lysosomal DNase II),DNASE2,24.4,19,19.1
A0A5F5XGS4_FELCA,Docking protein 7,DOK7,22,16.6,17
M3W0Z1_FELCA,Dipeptidase (EC 3.4.13.19),DPEP1,24.6,22.6,22.1
A0A337S046_FELCA,Dipeptidyl peptidase like 10,DPP10,15.8,12.8,11.8
DPP4_FELCA,Dipeptidyl peptidase 4 (EC 3.4.14.5) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)],DPP4 CD26,29.1,22.1,22
A0A5F5XVS8_FELCA,Dipeptidyl peptidase 7,DPP7,25.5,21.1,21.2
M3XE34_FELCA,Dermatopontin,DPT,28.9,20.2,20.2
A0A2I2U844_FELCA,Dihydropyrimidinase,DPYS,23.5,19.8,20.1
A0A5F5XFR8_FELCA,Dihydropyrimidinase,DPYS,21.1,17.8,18.3
A0A2I2UZA9_FELCA,Desmocollin 1,DSC1,25.2,20,19.6
A0A2I2UGD4_FELCA,Desmocollin 2,DSC2,24.8,24.2,24.4
A0A2I2UCR1_FELCA,Desmocollin 2,DSC2,21.6,19.5,19.2
A0A337SP25_FELCA,Desmoglein 1,DSG1,21.5,19,18.4
M3WCK3_FELCA,Desmoplakin,DSP,22.6,22.6,21.1
A0A2I2UFE0_FELCA,Destrin (Actin-depolymerizing factor),DSTN,21.4,16.5,16.4
M3WM59_FELCA,"Enoyl-CoA hydratase, mitochondrial (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (Short-chain enoyl-CoA hydratase)",ECHS1,18.7,18.1,18
M3W858_FELCA,Enoyl-CoA delta isomerase 1,ECI1,15.7,15.3,15.4
M3WRY2_FELCA,Extracellular matrix protein 1,ECM1,25.1,27.5,26.2
A0A337SPQ5_FELCA,Ectodysplasin A receptor,EDAR,20.2,17.1,17.7
A0A337SND7_FELCA,Endothelin-3 (Preproendothelin-3),EDN3,22.5,14.3,14.9
A0A337SDI4_FELCA,Endothelin receptor type B (Endothelin receptor non-selective type),EDNRB,17.7,16.7,16
A0A2I2U0I8_FELCA,Early endosome antigen 1,EEA1,22.2,16.7,16.9
EF1A1_FELCA,Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1),EEF1A1 EEF1A,24.8,24.7,24.4
